popularity,original_title,cast,director,keywords,runtime,genres,production_companies,vote_count,vote_average,release_year,budget_adj,revenue_adj,net_profit
0,Tetro,Vincent Gallo|Maribel VerdÃº|Klaus Maria Brandauer|Alden Ehrenreich|Silvia PÃ©rez,Francis Ford Coppola,confession|based on novel|birthday|nudity|cruise,127,Drama|Mystery,American Zoetrope|BIM Distribuzione|Tornasol Films|Zoetrope Argentina,19,6,2009,15246006,115077,-15130929
0,Children of the Corn,David Anders|Kandyse McClure|Daniel Newman|Preston Bailey|Lexie Behr,Donald P. Borchers,ritual|remake|king|cornfield|based on film,92,Drama|Horror|Thriller,Children of the Corn Productions,23,4,2009,4573801,0,-4573801
0,The Keeper,Steven Seagal|Luce Rains|Liezl Carstens|Kisha Sierra|Arron Shiver,Keoni Waxman,texas|boxer|bodyguard|ex-cop|night club,94,Action|Adventure|Thriller,Steamroller Productions,16,5,2009,10164004,0,-10164004
0,Lesbian Vampire Killers,James Corden|Mathew Horne|Paul McGann|MyAnna Buring|Vera Filatova,Phil Claydon,female nudity|horror|black comedy|lesbianism|female vampire,86,Horror|Comedy,AV Pictures,61,5,2009,0,0,0
0,44 Inch Chest,Ray Winstone|John Hurt|Ian McShane|Tom Wilkinson|Joanne Whalley,Malcolm Venville,,95,Drama|Crime,IM Global|Anonymous Content|Passenger|Twilight Production & Entertainment|Omni Films,15,5,2009,0,0,0
0,The Good Witch's Garden,Catherine Bell|Chris Potter|Matthew Knight|Hannah Endicott-Douglas|Catherine Disher,Craig Pryce,,85,TV Movie|Comedy|Family|Fantasy|Romance,The Hallmark Channel|Whizbang Films Inc.,11,5,2009,0,0,0
0,Whip It,Ellen Page|Landon Pigg|Drew Barrymore|Sarah Habel|Shannon Eagen,Drew Barrymore,sport|roller derby|duringcreditsstinger|woman director,111,Drama,Mandate Pictures|Vincent Pictures,214,6,2009,15246006,16905823,1659817
0,The Trotsky,Jay Baruchel|Emily Hampshire|GeneviÃ¨ve Bujold|Colm Feore|Jessica ParÃ©,Jacob Tierney,independent film,120,Comedy,The Harold Greenberg Fund,14,5,2009,6504962,0,-6504962
0,Metropia,Juliette Lewis|Udo Kier|Stellan SkarsgÃ¥rd|Shanti Roney|Vincent Gallo,Tarik Saleh,future|dystopia|mind control|independent film|adult animation,86,Animation|Drama|Science Fiction|Thriller,Atmo Media Network,29,6,2009,5143728,0,-5143728
0,In the Loop,Peter Capaldi|Tom Hollander|Gina McKee|James Gandolfini|Chris Addison,Armando Iannucci,washington d.c.|war|political incompetence|warmongering|united nations,106,Comedy,BBC Films|Aramid Entertainment Fund,85,6,2009,0,6250650,6250650
0,Michael Jackson's This Is It,Michael Jackson|Orianthi|Kenny Ortega|Dorian Holley|Patrick Woodroffe,Kenny Ortega,pop star|music|concert|aftercreditsstinger|duringcreditsstinger,111,Music|Documentary,Columbia Pictures,156,6,2009,60984026,0,-60984026
0,The Vicious Kind,Adam Scott|Brittany Snow|Alex Frost|J.K. Simmons|Vittorio Brahm,Lee Toland Krieger,love triangle|brother brother relationship|father-son relationship|prostitute|sex,92,Comedy|Drama,72nd Street Productions|Candleridge Entertainment,21,6,2009,0,0,0
0,The Last Station,James McAvoy|Christopher Plummer|Helen Mirren|Paul Giamatti|Anne-Marie Duff,Michael Hoffman,duringcreditsstinger,112,Drama|Romance,Zephyr Films|Egoli Tossell Film,22,6,2009,0,0,0
0,Contracorriente,Tatiana Astengo|Manolo Cardona|Cristian Mercado,Javier Fuentes-LeÃ³n,gay|fisherman|peru|gay romance|gay relationship,100,Drama|Romance|Foreign,,26,6,2009,0,0,0
0,Dolan's Cadillac,Christian Slater|Emmanuelle Vaugier|Wes Bentley|Robert Benz|Darla Biccum,Jeff Beesley,,81,Drama|Thriller,Prescience|Minds Eye Entertainment|Footprint Investments,13,5,2009,10164004,0,-10164004
0,Dadnapped,Emily Osment|David Henrie|Jason Earles|Jonathan Keltz,Paul Hoen,,84,TV Movie|Action|Adventure|Comedy|Family,Salty Pictures,40,4,2009,0,0,0
0,The Limits of Control,Isaach De BankolÃ©|Tilda Swinton|Bill Murray|Gael GarcÃ­a Bernal|John Hurt,Jim Jarmusch,independent film,116,Crime|Drama|Thriller|Mystery,PointBlank Films,34,6,2009,0,0,0
0,According to Greta,Hilary Duff|Evan Ross|Ellen Burstyn|Michael Murphy|Tsianina Joelson,Nancy Bardawil,suicide|grandparents|love|romance|summer,92,Drama|Romance,Whitewater Films|Rafter H Entertainment,44,6,2009,0,0,0
0,Solomon Kane,James Purefoy|Pete Postlethwaite|Alice Krige|Mackenzie Crook|Max von Sydow,Michael J. Bassett,mercenary|murder|stabbed to death|puritan|sorcerer,104,Adventure|Fantasy|Action|Science Fiction,Davis-Films|Czech Anglo Productions|Wandering Star Pictures,230,5,2009,45738019,7938087,-37799932
0,Dead Man Running,50 Cent|Tamer Hassan|Danny Dyer|Blake Ritson|EsmÃ© Bianco,Alex De Rakoff,london|robbery|manchester city|violence,92,Action|Crime|Drama|Thriller,Next Generation TV & Film|P&T Productions,14,5,2009,0,0,0
0,Survival of the Dead,Alan van Sprang|Kenneth Welsh|Kathleen Munroe|Devon Bostick|Richard Fitzpatrick,George A. Romero,zombies,90,Horror|Science Fiction,Devonshire Productions|Artfire Films|New Romero|Sudden Storm Productions|Blank of the Dead Productions,35,4,2009,4065601,145539,-3920062
0,Dance Flick,Shoshana Bush|Damon Wayans Jr.|Essence Atkins|Chris Elliott|David Alan Grier,Damien Dante Wayans,rap|hip-hop,83,Action|Comedy|Music,Paramount Pictures|MTV Films|Wayans Bros. Entertainment,40,4,2009,0,0,0
0,The Devil's Tomb,Cuba Gooding Jr.|Ray Winstone|Ron Perlman|Taryn Manning|Stephanie Jacobsen,Jason Connery,duct tape gag|bandana|headshot|camoflage uniform|sadistic laughter,90,Action|Horror|Thriller|Science Fiction,Ice Cold Productions|Empyreal Entertainment|Ringleader Studios,24,3,2009,10164004,0,-10164004
0,Red Riding: In the Year of Our Lord 1974,Andrew Garfield|David Morrissey|John Henshaw|Anthony Flanagan|Warren Clarke,Julian Jarrold,,102,Thriller|Mystery|Crime|Drama,Revolution Films|Channel Four Films|Screen Yorkshire|Lipsync Productions,12,6,2009,0,0,0
0,Barbie and the Three Musketeers,Kelly Sheridan|Tim Curry|Kira Tozer|Willow Johnson|Dorla Bell,William Lau,based on toy,81,Animation|Family,Mainframe Entertainment,34,6,2009,0,0,0
0,X-Men Origins: Wolverine,Hugh Jackman|Liev Schreiber|Danny Huston|Lynn Collins|Ryan Reynolds,Gavin Hood,corruption|mutant|boxer|army|marvel comic,107,Adventure|Action|Thriller|Science Fiction,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Donners' Company|Dune Entertainment|Seed Productions,2784,6,2009,152460065,346726502,194266437
0,Balls Out: The Gary Houseman Story,Randy Quaid|Seann William Scott|Leonor Varela|Allen Evangelista|Emilee Wallace,Danny Leiner,male nudity|tennis racket|tennis|underwear|owl,87,Comedy,O.N.C. Entertainment,17,5,2009,0,0,0
0,Mutant Pumpkins from Outer Space,Seth Rogen|Reese Witherspoon|Hugh Laurie|Will Arnett|Kiefer Sutherland,Peter Ramsey,monster|mutant|alien,27,TV Movie|Animation|Family|Comedy,DreamWorks Animation,48,6,2009,0,0,0
0,Mammoth,Gael GarcÃ­a Bernal|Michelle Williams|Marife Necesito|Sophie Nyweide|Tom McCarthy,Lukas Moodysson,mother|thailand|philippines|independent film|unfaithfulness,125,Drama|Romance,Zentropa Entertainments|Memfis Film|TV2 Danmark|Sveriges Television (SVT)|Film i VÃ¤st,19,5,2009,10164004,0,-10164004
0,S. Darko,Daveigh Chase|Elizabeth Berkley|Briana Evigan|James Lafferty|Ed Westwick,Chris Fisher,stranded|end of the world|shattered home|bizarre past|frightening visions,103,Thriller|Crime|Science Fiction|Mystery,Adam Fields Productions,63,3,2009,4065601,4167241,101640
0,Prison Break: The Final Break,Wentworth Miller|Sarah Wayne Callies|Dominic Purcell|Jodi Lyn O'Keefe|Amaury Nolasco,Kevin Hooks|Brad Turner,,89,Action|Drama|Thriller,SF Film|20th Century Fox Television,91,7,2009,0,0,0
0,Happily N'Ever After 2,G.K. Bowes|Kelly Brewster|Doug Erholtz|Jennie Fahn|Helen Niedwick,Steven E. Gordon|Boyd Kirkland,,75,Family|Animation,Scanbox,25,4,2009,0,0,0
0,Virtuality,Nikolaj Coster-Waldau|Kerry BishÃ©|Joy Bryant|Jose Pablo Cantillo|Ritchie Coster,Peter Berg,virtual reality|space,87,Drama|Romance|Science Fiction|Thriller,,20,4,2009,0,0,0
0,Tanner Hall,Rooney Mara|Georgia King|Brie Larson|Amy Ferguson|Antonia Steinberg,Francesca Gregorini|Tatiana von Furstenberg,boarding school|woman director,96,Drama,Tax Credit Finance,18,5,2009,0,0,0
0,Black Dynamite,Michael Jai White|Arsenio Hall|Tommy Davidson|Kevin Chapman|Richard Edson,Scott Sanders,black people|blaxploitation|spoof|duringcreditsstinger,90,Action|Comedy,Destination Films|Six Point Harness|Ars Nova|Goliath Entertainment,102,7,2009,2947561,301420,-2646141
0,The Thaw,Val Kilmer|Martha MacIsaac|Aaron Ashmore|Kyle Schmid|Anne Marie DeLuise,Mark A. Lewis,,90,Horror|Science Fiction|Thriller,Brightlight Pictures|Anagram Pictures Inc.|Telefilm Canada|Corus Entertainment|Etch Media,28,4,2009,0,0,0
0,City Island,Andy GarcÃ­a|Julianna Margulies|Steven Strait|Dominik GarcÃ­a-Lorido|Ezra Miller,Raymond De Felitta,secret|fetishism|stripper|family secrets|convict,104,Drama|Comedy,Lucky Monkey Pictures|CineSon Entertainment|Filmsmith Productions|Medici Entertainment|Gremi Film Production,51,6,2009,6098402,6780114,681712
0,The Gruffalo,Helena Bonham Carter|Rob Brydon|Robbie Coltrane|James Corden|John Hurt,Max Lang|Jakob Schuh,snake|mouse|fox|owl,27,Animation|Family,Magic Light Pictures,41,6,2009,0,0,0
0,The Secret of Kells,Evan McGuire|Brendan Gleeson|Liam Hourican|Mick Lally|Michael McGrath,Tomm Moore|Nora Twomey,barbarian|underwater|trapped|sea monster|woman director,75,Animation|Family|Fantasy,GÃ©bÃ©ka Films|Cartoon Saloon,108,7,2009,0,0,0
0,Amelia,Hilary Swank|Richard Gere|Aaron Abrams|Ewan McGregor|Christopher Eccleston,Mira Nair,flying|empowerment|airplane|maneuver|woman director,111,Drama|Adventure|Romance,Fox Searchlight Pictures|AE Electra Productions|Avalon Pictures,41,5,2009,40656017,19574367,-21081650
0,Screamers: The Hunting,Stephen Amell|Greg Bryk|Stephen Patrick Dunn|Lynley Hall|Lance Henriksen,Sheldon Wilson,man vs machine|alien planet|battle for survival,94,Action|Horror|Science Fiction,Pope Productions,17,4,2009,0,0,0
0,Desert Flower,Liya Kebede|Sally Hawkins|Craig Parkinson|Meera Syal|Anthony Mackie,Sherry Hormann,female nudity|africa|rape|based on novel|vagabund,120,Drama,Desert Flower Filmproductions|Desert Flower|Backup Films|Torus,42,7,2009,0,45075,45075
0,Partly Cloudy,Tony Fucile|Lori Richardson,Peter Sohn,american football|baby|cloud|alligator|eel,5,Adventure|Animation|Comedy|Family|Fantasy,Pixar Animation Studios,218,7,2009,0,0,0
0,Der Knochenmann,Josef Hader|Josef Bierbichler|Birgit Minichmayr|Christoph Luser|Pia Hierzegger,Wolfgang Murnberger,investigation|murder|marijuana|dialect,117,Crime|Thriller|Comedy,Dor Film Produktionsgesellschaft GmbH,11,7,2009,0,0,0
0,Afro Samurai: Resurrection,Samuel L. Jackson|Lucy Liu|Mark Hamill|Grey Griffin|Zachary Gordon,Fuminori Kizaki,samurai,91,Animation,Fuji TV,28,6,2009,0,0,0
0,Boogie Woogie,Gillian Anderson|Heather Graham|Amanda Seyfried|Alan Cumming|Danny Huston,Duncan Ward,independent film|money|ensemble cast|fine art|maneuvering,94,Comedy|Drama,Autonomous,15,6,2009,0,0,0
0,Echelon Conspiracy,Shane West|Edward Burns|Ving Rhames|Martin Sheen|Steven Elder,Greg Marcks,casino|thriller|surveillance|omaha nebraska,105,Action|Crime|Mystery,Dark Castle Entertainment|Zinc Entertainment Inc.|Mobicom Entertainment,58,5,2009,0,508356,508356
0,Beyond a Reasonable Doubt,Michael Douglas|Jesse Metcalfe|Amber Tamblyn|Joel David Moore|Orlando Jones,Peter Hyams,reporter|criminal,105,Drama,Aramid Entertainment Fund|Autonomous Films|RKO Pictures|Foresight Unlimited|Signature Entertainment,42,5,2009,25410010,4460537,-20949473
0,Love and Other Impossible Pursuits,Natalie Portman|Lisa Kudrow|Lauren Ambrose|Anthony Rapp|Scott Cohen,Don Roos,based on novel,102,Drama,Incentive Filmed Entertainment|Handsomecharlie Films,77,6,2009,0,0,0
0,Possession,Sarah Michelle Gellar|Lee Pace|Michael Landes|William B. Davis|Tuva Novotny,Joel Bergvall|Simon Sandquist,coma|remake,86,Drama|Thriller|Romance,Vertigo Entertainment|Yari Film Group|Spitfire Pictures|Addicted Productions,21,5,2009,0,0,0
0,Nativity!,Martin Freeman|Ashley Jensen|Marc Wootton|Pam Ferris|Jason Watkins,Debbie Isitt,holiday|woman director,105,Comedy|Family,BBC Films|Screen West Midlands|Mirrorball Films,30,6,2009,0,0,0
0,BaarÃ¬a,Francesco Scianna|Margareth MadÃ¨|Raoul Bova|Giorgio Faletti|Leo Gullotta,Giuseppe Tornatore,sicily|fascism|mafia|communism,150,Drama|Comedy,Medusa Film,56,6,2009,35574015,0,-35574015
0,Dug's Special Mission,Bob Peterson|Delroy Lindo|Jerome Ranft|Ed Asner|Jordan Nagai,Ronnie del Carmen,pixar animated short|dog,5,Animation|Adventure|Comedy|Family|Fantasy,Pixar Animation Studios,48,6,2009,0,0,0
0,Hunter Prey,Isaac C. Singleton Jr.|Clark Bartram|Damion Poitier|Simon Potter|Erin Gray,Sandy Collora,alien life-form|science fiction,90,Science Fiction|Thriller,NBV Productions|Montauk Films,22,5,2009,431970,0,-431970
0,Motherhood,Uma Thurman|Minnie Driver|Anthony Edwards|David Schallipp|Matthew Schallipp,Katherine Dieckmann,mother role|blog|woman director,90,Comedy|Drama,John Wells Productions,25,5,2009,0,0,0
0,New in Town,RenÃ©e Zellweger|Harry Connick Jr.|J.K. Simmons|Siobhan Fallon|Mike O'Brien,Jonas Elmer,minnesota|small town|economy|plants|vegetarian,97,Comedy|Romance,Lionsgate|Edmonds Entertainment Group (EEG)|Epidemic Pictures|The Safran Company|Gold Circle Films,50,5,2009,8131203,29486606,21355403
0,Me and Orson Welles,Zac Efron|Claire Danes|Christian McKay|Imogen Poots|Zoe Kazan,Richard Linklater,new york|based on novel|historical figure|theater|1930s,114,Comedy|Drama|Romance,Isle of Man Film|Freestyle Releasing|CinemaNX,24,6,2009,25410010,2374486,-23035524
0,Shorts,Jimmy Bennett|Kat Dennings|Jolie Vanier|William H. Macy|James Spader,Robert Rodriguez,,89,Comedy|Family,Warner Bros. Pictures,20,4,2009,40656017,29447669,-11208348
0,"My Son, My Son, What Have Ye Done",Michael Shannon|Willem Dafoe|ChloÃ« Sevigny|Brad Dourif|Michael PeÃ±a,Werner Herzog,suspense|police standoff,91,Crime|Drama|Thriller,Defilm,26,5,2009,0,0,0
0,Alice,Caterina Scorsone|Kathy Bates|Andrew-Lee Potts|Matt Frewer|Philip Winchester,Nick Willing,,240,Fantasy|Drama|Science Fiction,,32,6,2009,0,0,0
0,Miss March,Zach Cregger|Trevor Moore|Raquel Alessi|Craig Robinson|Molly Stanton,Zach Cregger|Trevor Moore,sex|first time|virgin|road trip|playboy,89,Comedy|Romance,The Jacobson Company,42,5,2009,0,0,0
0,In Her Skin,Guy Pearce|Sam Neill|Miranda Otto|Ruth Bradley|Kate Bell,Simone North,babysitter|australian|woman director,107,Drama|Thriller,Screen Australia,17,6,2009,7114803,0,-7114803
0,Five Minutes of Heaven,Liam Neeson|James Nesbitt|Anamaria Marinca|Gerard Jordan|Mark Ryder,Oliver Hirschbiegel,revenge|independent film,89,Crime|Drama|Thriller,BBC Films|BÃ³rd ScannÃ¡n na hÃ‰ireann|Ruby Films|Big Fish Films|Element Pictures,19,6,2009,0,0,0
0,Super Rhino,Miley Cyrus|Mark Walton|Susie Essman|Malcolm McDowell|Dara McGarry,Nathan Greno,,5,Animation|Comedy,Walt Disney Pictures|Walt Disney Animation Studios,11,6,2009,0,0,0
0,Ju-on: Shiroi rÃ´jo,Hiroki Suzuki|IchirÃ´ta Miyakawa|Natsuki Kasa|Mihiro|Akina Minami,Ryuta Miyake,curse|vengeful ghost|ju-on,61,Horror,Cell|Oz Company|Toei Video Company,12,6,2009,0,0,0
0,The Private Lives of Pippa Lee,Robin Wright|Alan Arkin|Keanu Reeves|Julianne Moore|Winona Ryder,Rebecca Miller,age difference|sense of guilt|marriage|terminal illness|neighbor,98,Comedy|Drama|Romance,Elevation Filmworks|Grand Army Entertainment,31,6,2009,0,0,0
0,Imagine That,Eddie Murphy|Thomas Haden Church|Yara Shahidi|Ronny Cox|Stephen Rannazzisi,Karey Kirkpatrick,,107,Comedy|Drama|Family|Fantasy,Paramount Pictures|Di Bonaventura Pictures|Nickelodeon Movies|Goldcrest Pictures,77,5,2009,55902023,0,-55902023
0,Personal Effects,Michelle Pfeiffer|Ashton Kutcher|Kathy Bates|Spencer Hudson|John Mann,David Hollander,cemetery|dying and death|autopsy,110,Drama,CinÃ©film AG|Insight Film Studios|Picture Park|TADORA Filmproduktions|Netter Productions,23,5,2009,0,0,0
0,Fame,Kay Panabaker|Naturi Naughton|Kherington Payne|Megan Mullally|Walter Perez,Kevin Tancharoen,musical|duringcreditsstinger,107,Music|Comedy|Drama|Romance,United Artists|Lakeshore Entertainment|Metro-Goldwyn-Mayer (MGM),88,5,2009,0,0,0
0,From Within,Elizabeth Rice|Thomas Dekker|Kelly Blatz|Laura Allen|Adam Goldberg,Phedon Papamichael,,89,Horror|Mystery|Thriller,Burgundy Films,14,6,2009,0,67545,67545
0,Nine Miles Down,Kate Nauta|Adrian Paul|Meredith Ostrom|Amanda Douge|Anthony Waller,Anthony Waller,isolation|hallucination|gas|investigation|hell,86,Horror|Mystery|Thriller,A-Mark Entertainment,16,5,2009,0,0,0
0,Robin Williams: Weapons of Self Destruction,Robin Williams,Marty Callner,,90,Comedy,CBS Films,11,6,2009,0,0,0
0,Prep & Landing,Dave Foley|Sarah Chalke|Derek Richardson|Mason Vale Cotton|David DeLuise,Kevin Deters|Stevie Wermers,holiday|santa claus,22,Animation|Fantasy|Family,Walt Disney Animation Studios,29,6,2009,0,0,0
0,Gentlemen Broncos,Michael Angarano|Sam Rockwell|Clive Revill|Jemaine Clement|Jennifer Coolidge,Jared Hess,writing|plagiarism|independent film|homeschooling|aftercreditsstinger,89,Action|Comedy|Thriller,,23,5,2009,10164004,0,-10164004
0,Walled In,Mischa Barton|Cameron Bright|Deborah Kara Unger|Noam Jenkins|Eugene Clark,Gilles Paquet-Brenner,suicide|sex|based on novel|explosive|architect,92,Horror|Thriller,experiences films|Minds Eye Entertainment|Forecast Pictures|Leomax Productions,26,4,2009,10164004,0,-10164004
0,The Human Centipede (First Sequence),Dieter Laser|Ashley C. Williams|Ashlynn Yennie|Akihiro Kitamura|Andreas Leupold,Tom Six,surgeon|kidnapping|body mutilation|psychosis|body horror,92,Horror,Six Entertainment,254,5,2009,2044793,0,-2044793
0,Dread,Jackson Rathbone|Shaun Evans|Hanne Steen|Laura Donnelly|Jonathan Readwin,Anthony DiBlasi,nightmare|primal fear,108,Horror|Drama|Thriller,Matador Pictures|Midnight Picture Show|Essential Entertainment,31,5,2009,0,0,0
0,Dragonball Evolution,Justin Chatwin|Joon Park|Jamie Chung|Emmy Rossum|James Marsters,James Wong,karate|superhero|revenge|dragon|duringcreditsstinger,85,Action|Adventure|Fantasy|Science Fiction|Thriller,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Star Overseas|Dune Entertainment III,261,3,2009,101640043,0,-101640043
0,The Countess,Julie Delpy|William Hurt|Daniel BrÃ¼hl|Anamaria Marinca|Maria Simon,Julie Delpy,hungary|virgin|beauty|dracula|aging,98,Drama|History|Horror,X Filme International|Celluloid Dreams Productions,20,5,2009,8639403,0,-8639403
0,John Rabe,Ulrich Tukur|Dagmar Manzel|Steve Buscemi|Daniel BrÃ¼hl|Zhang Jingchu,Florian Gallenberger,japan|china|biography|ns-zeit|life-saver,134,Drama|History|War,Hofmann & Voges Entertainment|Majestic Filmproduktion|EOS Entertainment|Zweites Deutsches Fernsehen (ZDF)|Pampa Production,18,7,2009,20328008,0,-20328008
0,Sorority Row,Rumer Willis|Briana Evigan|Jamie Chung|Leah Pipes|Teri Andrzejewski,Stewart Hendler,graduation|killer|horror movie remade|sorority house,101,Horror|Mystery|Thriller,Summit Entertainment|Karz Entertainment,92,5,2009,12705005,27652312,14947307
0,Hardwired,Cuba Gooding Jr.|Val Kilmer|Alastair Gamble|Juan Riedinger|Michael Ironside,Ernie Barbarash|Tia Buhl,amnesia|mind control|conspiracy|on the run|corporate world,94,Action|Adventure|Science Fiction|Thriller,Motion Picture Corporation of America|Insight Film Studios,17,4,2009,5082002,0,-5082002
0,The Maiden Heist,Morgan Freeman|Christopher Walken|William H. Macy|Joseph McKenna|Wynn Everett,Peter Hewitt,scuplture|theft|security guard,91,Comedy|Crime,Revelations Entertainment|Dog Pond Productions|Yan Film Group|Paris Film,41,5,2009,20328008,0,-20328008
0,The Last Templar,Mira Sorvino|Victor Garber|Scott Foley|Anthony Lemke|Kenneth Welsh,Paolo Barzman,,170,Adventure|Fantasy|Drama|Thriller,Muse Entertainment Enterprises,10,4,2009,0,0,0
0,Middle of Nowhere,Susan Sarandon|Eva Amurri Martino|Anton Yelchin|Justin Chatwin|Brea Grant,John Stockwell,mother daughter relationship|summer|real life mother and daughter playing mother and daughter|beauty pageant,95,Comedy|Drama,Bold Films|Louisiana Media Productions|Nowhere Films Louisiana Productions,12,6,2009,0,0,0
0,The Killing Room,Timothy Hutton|Peter Stormare|ChloÃ« Sevigny|Bill Stinchcomb|Nick Cannon,Jonathan Liebesman,independent film|duringcreditsstinger,93,Drama|Thriller,Management 360,38,5,2009,0,0,0
0,The House of the Devil,Jocelin Donahue|Mary Woronov|Greta Gerwig|AJ Bowen|Heather Robb,Ti West,ritual|cult|independent film|human sacrifice|eclipse,95,Mystery|Horror,MPI Media Group,72,5,2009,0,0,0
0,Legally Blondes,Milly Rosso|Becky Rosso|Christopher Cousins|Brittany Curran|Chloe Bridges,Savage Steve Holland,,86,Comedy|Family,Metro-Goldwyn-Mayer (MGM),31,4,2009,0,0,0
0,The Revenant,Chris Wylde|David Anders|Louise Griffiths|Jacy King,D. Kerry Prior ,police|vigilante|blood|gangster|revenant,110,Comedy|Horror,Putrefactory Limited|Wanko Toys,30,5,2009,0,0,0
0,Giallo,Adrien Brody|Emmanuelle Seigner|Elsa Pataky|Robert Miano|Valentina Izumi,Dario Argento,inspector|serial killer|fear,92,Horror|Thriller|Crime|Mystery,Opera Film Produzione|Hannibal Pictures|Media Films|Footprint Investment Fund,15,3,2009,14229606,0,-14229606
0,Deep in the Valley,Rachel Specter|Denise Richards|Brendan Hines|Chris Pratt|Blanca Soto,Christian Forte,sex comedy,87,Comedy,Persistent Entertainment,13,4,2009,0,0,0
0,The New Daughter,Kevin Costner|Ivana Baquero|Gattlin Griffith|Samantha Mathis|Noah Taylor,Luis Berdejo,,108,Horror|Thriller,Gold Circle Films|New Daughter Productions,51,5,2009,0,0,0
0,Nowhere Boy,Aaron Taylor-Johnson|Kristin Scott Thomas|David Morrissey|Anne-Marie Duff|Sam Bell,Sam Taylor-Johnson,musical|crying|dark past|kidnapping attempt|reference to tchaikovsky,98,Drama,Ecosse Films,152,6,2009,0,0,0
0,Prayers for Bobby,Ryan Kelley|Sigourney Weaver|Henry Czerny|Dan Butler|Austin Nichols,Russell Mulcahy,,88,,Daniel Sladek Entertainment,57,7,2009,0,0,0
0,St Trinian's 2: The Legend of Fritton's Gold,Talulah Riley|Rupert Everett|Gemma Arterton|David Tennant|Colin Firth,Oliver Parker|Barnaby Thompson,treasure hunt|girls' boarding school|pirate,106,Comedy|Adventure,Ealing Studios,46,5,2009,0,0,0
0,Stay Cool,Winona Ryder|Chevy Chase|Sean Astin|Mark Polish|Jon Cryer,Michael Polish,independent film|writer|hometown,94,Comedy,Initiate Productions,11,4,2009,4573801,0,-4573801
0,Behind Enemy Lines III: Colombia,Keith David|Joe Manganiello|Channon Roe|Yancey Arias|Chris J. Johnson,Tim Matheson|Reynaldo Rodriguez,invasion|teamwork,94,War|Action|Thriller,20th Century Fox Home Entertainment|WWE Studios,23,5,2009,0,0,0
0,Forget Me Not,Carly Schroeder|Cody Linley|Brie Gabrielle|Chloe Bridges|Micah Alberti,Tyler Oliver,independent film,103,Drama|Horror|Romance,Capstone Entertainment Group|Vindicated Pictures,29,5,2009,0,0,0
0,Dead Like Me: Life After Death,Ellen Muth|Jasmine Guy|Callum Blue|Sarah Wynter|Britt McKillip,Stephen Herek,suicide|life and death|coma|afterlife,87,Drama|Fantasy|Comedy,Metro-Goldwyn-Mayer (MGM),37,5,2009,0,0,0
0,Open Graves,Eliza Dushku|Mike Vogel|Lilliam Kouri|Naike Rivelli|Ethan Rains,Ãlvaro de ArmiÃ±Ã¡n,,88,Horror|Thriller,Open Pictures|Alchemedia Films|Manufacturas Audiovisuales|CoproducciÃ³n EspaÃ±a-USA,12,4,2009,6606602,0,-6606602
0,Gifted Hands: The Ben Carson Story,Cuba Gooding Jr.|Kimberly Elise|Aunjanue Ellis|Ele Bardha|Loren Bass,Thomas Carter,biography,86,Drama,The Hatchery|Sony Pictures Television|Magna Global Entertainment|Johnson & Johnson Spotlight Presentations|Thomas Carter Company,48,7,2009,0,0,0
0,B.O.B.'s Big Break,Will Arnett|Hugh Laurie|Seth Rogen|Kiefer Sutherland|Mike Mitchell,Robert Porter,,11,Animation|Adventure|Action|Comedy,,12,6,2009,0,0,0
0,Princess Protection Program,Selena Gomez|Demi Lovato|Jamie Chung|Nicholas Braun|Kevin G. Schmidt,Allison Liddi-Brown,secret identity|island|monarchy|high school|princess,89,Comedy|Drama|Family,Disney Channel,188,6,2009,0,0,0
0,ChÃ©ri,Michelle Pfeiffer|Kathy Bates|Rupert Friend|Felicity Jones|Iben Hjejle,Stephen Frears,,86,Drama|Comedy|Romance,PathÃ© Renn Productions|UK Film Council|Aramid Entertainment Fund|Canal+|Bill Kenwright Films,29,5,2009,23377209,9519837,-13857372
0,Tales of the Black Freighter,Gerard Butler,Mike Smith|Daniel DelPurgatorio,pirate,26,Animation|Horror|Action,Warner Premiere,25,6,2009,0,0,0
0,The Joneses,David Duchovny|Demi Moore|Amber Heard|Benjamin Hollingsworth|Lauren Hutton,Derrick Borte,independent film|duringcreditsstinger,96,Comedy|Drama,Echo Lake Productions|Premiere Picture,117,6,2009,10164004,7137903,-3026101
0,Arlen Faber,Jeff Daniels|Lauren Graham|Lou Taylor Pucci|Kat Dennings|Olivia Thirlby,John Hindman,chiropractor,95,Comedy|Romance,Messick Films|iDeal Partners Film Fund|120dB Films,16,6,2009,0,0,0
0,Espion(s),Guillaume Canet|GÃ©raldine Pailhas|Stephen Rea|Hippolyte Girardot|Archie Panjabi,Nicolas Saada,,99,Drama|Romance|Thriller,France 2 CinÃ©ma|Mars Distribution|The Film|Studio 37,11,6,2009,0,0,0
0,Mrs. Miracle,Erin Karpluk|James Van Der Beek|Doris Roberts|Michael Strusievici|Valin Shinyei,Michael Scott,,90,Comedy|Fantasy|Romance|TV Movie,The Hallmark Channel|Dan Wigutow Productions|KZ Productions,14,5,2009,0,0,0
